ID,LTPC,Date,VV,VH,RVI
25,1,20240103t001243,125.0,49.0,1.1264367816091954
37,1,20240103t001243,212.0,131.0,1.5276967930029155
39,1,20240103t001243,110.0,49.0,1.2327044025157232
70,1,20240103t001243,137.0,86.0,1.5426008968609866
71,1,20240103t001243,137.0,83.0,1.509090909090909
228,3,20240103t001243,156.0,85.0,1.4107883817427387
229,3,20240103t001243,190.0,110.0,1.4666666666666666
235,3,20240103t001243,118.0,56.0,1.2873563218390804
250,3,20240103t001243,118.0,90.0,1.7307692307692308
264,3,20240103t001243,284.0,122.0,1.2019704433497538
406,5,20240103t001243,81.0,40.0,1.322314049586777
437,5,20240103t001243,211.0,172.0,1.7963446475195823
441,5,20240103t001243,83.0,60.0,1.6783216783216783
462,5,20240103t001243,202.0,93.0,1.2610169491525425
482,5,20240103t001243,223.0,83.0,1.0849673202614378
486,5,20240103t001243,183.0,104.0,1.4494773519163764
510,6,20240103t001243,0.0,0.0,
709,8,20240103t001243,137.0,67.0,1.3137254901960784
712,8,20240103t001243,172.0,69.0,1.1452282157676348
721,8,20240103t001243,119.0,104.0,1.8654708520179373
723,8,20240103t001243,190.0,86.0,1.2463768115942029
728,8,20240103t001243,71.0,65.0,1.911764705882353
740,8,20240103t001243,127.0,95.0,1.7117117117117118
750,8,20240103t001243,142.0,50.0,1.0416666666666667
752,8,20240103t001243,141.0,95.0,1.6101694915254237
755,8,20240103t001243,105.0,128.0,2.1974248927038627
761,8,20240103t001243,205.0,47.0,0.746031746031746
765,8,20240103t001243,111.0,81.0,1.6875
774,8,20240103t001243,165.0,127.0,1.7397260273972603
777,8,20240103t001243,85.0,59.0,1.6388888888888888
780,8,20240103t001243,96.0,42.0,1.2173913043478262
792,8,20240103t001243,83.0,67.0,1.7866666666666666
0,1,20240103t001308,220.0,106.0,1.3006134969325154
4,1,20240103t001308,150.0,73.0,1.3094170403587444
8,1,20240103t001308,150.0,59.0,1.1291866028708133
9,1,20240103t001308,81.0,44.0,1.408
10,1,20240103t001308,109.0,58.0,1.3892215568862276
13,1,20240103t001308,243.0,66.0,0.8543689320388349
18,1,20240103t001308,0.0,0.0,
19,1,20240103t001308,0.0,0.0,
20,1,20240103t001308,120.0,46.0,1.108433734939759
23,1,20240103t001308,210.0,103.0,1.31629392971246
27,1,20240103t001308,123.0,42.0,1.018181818181818
29,1,20240103t001308,100.0,124.0,2.2142857142857144
30,1,20240103t001308,192.0,92.0,1.295774647887324
33,1,20240103t001308,114.0,73.0,1.5614973262032086
35,1,20240103t001308,153.0,47.0,0.94
38,1,20240103t001308,136.0,89.0,1.5822222222222222
41,1,20240103t001308,302.0,86.0,0.8865979381443299
44,1,20240103t001308,124.0,19.0,0.5314685314685315
45,1,20240103t001308,124.0,74.0,1.494949494949495
47,1,20240103t001308,88.0,35.0,1.1382113821138211
50,1,20240103t001308,275.0,123.0,1.236180904522613
53,1,20240103t001308,260.0,82.0,0.9590643274853801
55,1,20240103t001308,210.0,63.0,0.9230769230769231
56,1,20240103t001308,140.0,50.0,1.0526315789473684
57,1,20240103t001308,55.0,38.0,1.6344086021505377
59,1,20240103t001308,93.0,54.0,1.469387755102041
61,1,20240103t001308,189.0,83.0,1.2205882352941178
62,1,20240103t001308,126.0,63.0,1.3333333333333333
66,1,20240103t001308,245.0,108.0,1.2237960339943343
67,1,20240103t001308,0.0,0.0,
69,1,20240103t001308,189.0,73.0,1.1145038167938932
72,1,20240103t001308,129.0,66.0,1.353846153846154
73,1,20240103t001308,68.0,73.0,2.0709219858156027
74,1,20240103t001308,167.0,137.0,1.8026315789473684
76,1,20240103t001308,151.0,76.0,1.3392070484581498
79,1,20240103t001308,124.0,86.0,1.638095238095238
80,1,20240103t001308,82.0,32.0,1.1228070175438596
83,1,20240103t001308,98.0,52.0,1.3866666666666667
85,1,20240103t001308,0.0,0.0,
92,1,20240103t001308,203.0,71.0,1.0364963503649636
95,1,20240103t001308,121.0,61.0,1.3406593406593406
96,1,20240103t001308,116.0,81.0,1.6446700507614214
99,1,20240103t001308,100.0,69.0,1.6331360946745561
102,2,20240103t001308,146.0,55.0,1.0945273631840795
103,2,20240103t001308,148.0,92.0,1.5333333333333334
104,2,20240103t001308,103.0,61.0,1.4878048780487805
105,2,20240103t001308,147.0,78.0,1.3866666666666667
106,2,20240103t001308,158.0,111.0,1.6505576208178439
110,2,20240103t001308,139.0,52.0,1.0890052356020943
112,2,20240103t001308,201.0,67.0,1.0
116,2,20240103t001308,170.0,67.0,1.130801687763713
118,2,20240103t001308,152.0,50.0,0.9900990099009901
120,2,20240103t001308,85.0,31.0,1.0689655172413792
122,2,20240103t001308,184.0,50.0,0.8547008547008547
123,2,20240103t001308,202.0,105.0,1.3680781758957654
125,2,20240103t001308,0.0,0.0,
126,2,20240103t001308,166.0,189.0,2.129577464788732
127,2,20240103t001308,141.0,66.0,1.2753623188405796
128,2,20240103t001308,169.0,54.0,0.968609865470852
129,2,20240103t001308,160.0,32.0,0.6666666666666666
130,2,20240103t001308,239.0,80.0,1.0031347962382444
136,2,20240103t001308,94.0,69.0,1.6932515337423313
137,2,20240103t001308,93.0,62.0,1.6
138,2,20240103t001308,181.0,80.0,1.2260536398467432
139,2,20240103t001308,169.0,44.0,0.8262910798122066
140,2,20240103t001308,181.0,49.0,0.8521739130434782
141,2,20240103t001308,77.0,91.0,2.1666666666666665
143,2,20240103t001308,153.0,83.0,1.4067796610169492
145,2,20240103t001308,208.0,117.0,1.44
149,2,20240103t001308,162.0,64.0,1.1327433628318584
151,2,20240103t001308,0.0,0.0,
152,2,20240103t001308,217.0,44.0,0.6743295019157088
154,2,20240103t001308,149.0,82.0,1.41991341991342
155,2,20240103t001308,119.0,40.0,1.0062893081761006
156,2,20240103t001308,177.0,57.0,0.9743589743589743
158,2,20240103t001308,99.0,64.0,1.5705521472392638
159,2,20240103t001308,89.0,74.0,1.8159509202453987
160,2,20240103t001308,217.0,105.0,1.3043478260869565
161,2,20240103t001308,120.0,44.0,1.0731707317073171
162,2,20240103t001308,274.0,70.0,0.813953488372093
167,2,20240103t001308,144.0,73.0,1.3456221198156681
168,2,20240103t001308,157.0,93.0,1.488
170,2,20240103t001308,109.0,35.0,0.9722222222222222
172,2,20240103t001308,131.0,60.0,1.256544502617801
173,2,20240103t001308,234.0,103.0,1.2225519287833828
174,2,20240103t001308,96.0,58.0,1.5064935064935066
175,2,20240103t001308,199.0,82.0,1.1672597864768683
177,2,20240103t001308,220.0,58.0,0.8345323741007195
178,2,20240103t001308,214.0,114.0,1.3902439024390243
179,2,20240103t001308,68.0,55.0,1.7886178861788617
181,2,20240103t001308,167.0,84.0,1.3386454183266931
182,2,20240103t001308,206.0,49.0,0.7686274509803922
183,2,20240103t001308,217.0,121.0,1.4319526627218935
184,2,20240103t001308,221.0,48.0,0.7137546468401487
185,2,20240103t001308,450.0,144.0,0.9696969696969697
187,2,20240103t001308,123.0,37.0,0.925
190,2,20240103t001308,94.0,64.0,1.620253164556962
191,2,20240103t001308,122.0,81.0,1.5960591133004927
192,2,20240103t001308,196.0,50.0,0.8130081300813008
193,2,20240103t001308,156.0,49.0,0.9560975609756097
194,2,20240103t001308,131.0,69.0,1.38
195,2,20240103t001308,188.0,93.0,1.3238434163701067
196,2,20240103t001308,189.0,107.0,1.445945945945946
199,2,20240103t001308,147.0,52.0,1.0452261306532664
200,3,20240103t001308,28.0,21.0,1.7142857142857142
